MonthDate,YearMonthKey,ISR_SA
1992-01-01,199201,1.65
1992-02-01,199202,1.66
1992-03-01,199203,1.67
1992-04-01,199204,1.68
1992-05-01,199205,1.68
1992-06-01,199206,1.68
1992-07-01,199207,1.69
1992-08-01,199208,1.69
1992-09-01,199209,1.67
1992-10-01,199210,1.66
1992-11-01,199211,1.67
1992-12-01,199212,1.68
1993-01-01,199301,1.67
1993-02-01,199302,1.7
1993-03-01,199303,1.73
1993-04-01,199304,1.69
1993-05-01,199305,1.68
1993-06-01,199306,1.69
1993-07-01,199307,1.67
1993-08-01,199308,1.67
1993-09-01,199309,1.67
1993-10-01,199310,1.67
1993-11-01,199311,1.66
1993-12-01,199312,1.66
1994-01-01,199401,1.66
1994-02-01,199402,1.65
1994-03-01,199403,1.62
1994-04-01,199404,1.63
1994-05-01,199405,1.67
1994-06-01,199406,1.67
1994-07-01,199407,1.67
1994-08-01,199408,1.67
1994-09-01,199409,1.67
1994-10-01,199410,1.67
1994-11-01,199411,1.67
1994-12-01,199412,1.68
1995-01-01,199501,1.69
1995-02-01,199502,1.73
1995-03-01,199503,1.73
1995-04-01,199504,1.75
1995-05-01,199505,1.73
1995-06-01,199506,1.71
1995-07-01,199507,1.72
1995-08-01,199508,1.71
1995-09-01,199509,1.71
1995-10-01,199510,1.73
1995-11-01,199511,1.72
1995-12-01,199512,1.7
1996-01-01,199601,1.7
1996-02-01,199602,1.68
1996-03-01,199603,1.67
1996-04-01,199604,1.65
1996-05-01,199605,1.65
1996-06-01,199606,1.67
1996-07-01,199607,1.68
1996-08-01,199608,1.69
1996-09-01,199609,1.67
1996-10-01,199610,1.66
1996-11-01,199611,1.66
1996-12-01,199612,1.66
1997-01-01,199701,1.64
1997-02-01,199702,1.64
1997-03-01,199703,1.62
1997-04-01,199704,1.66
1997-05-01,199705,1.66
1997-06-01,199706,1.65
1997-07-01,199707,1.64
1997-08-01,199708,1.64
1997-09-01,199709,1.64
1997-10-01,199710,1.64
1997-11-01,199711,1.65
1997-12-01,199712,1.64
1998-01-01,199801,1.64
1998-02-01,199802,1.65
1998-03-01,199803,1.65
1998-04-01,199804,1.63
1998-05-01,199805,1.61
1998-06-01,199806,1.6
1998-07-01,199807,1.62
1998-08-01,199808,1.63
1998-09-01,199809,1.63
1998-10-01,199810,1.61
1998-11-01,199811,1.61
1998-12-01,199812,1.6
1999-01-01,199901,1.61
1999-02-01,199902,1.6
1999-03-01,199903,1.6
1999-04-01,199904,1.6
1999-05-01,199905,1.6
1999-06-01,199906,1.6
1999-07-01,199907,1.59
1999-08-01,199908,1.58
1999-09-01,199909,1.58
1999-10-01,199910,1.59
1999-11-01,199911,1.58
1999-12-01,199912,1.56
2000-01-01,200001,1.58
2000-02-01,200002,1.56
2000-03-01,200003,1.54
2000-04-01,200004,1.59
2000-05-01,200005,1.59
2000-06-01,200006,1.59
2000-07-01,200007,1.61
2000-08-01,200008,1.61
2000-09-01,200009,1.59
2000-10-01,200010,1.61
2000-11-01,200011,1.62
2000-12-01,200012,1.63
2001-01-01,200101,1.61
2001-02-01,200102,1.6
2001-03-01,200103,1.61
2001-04-01,200104,1.58
2001-05-01,200105,1.58
2001-06-01,200106,1.58
2001-07-01,200107,1.59
2001-08-01,200108,1.59
2001-09-01,200109,1.64
2001-10-01,200110,1.47
2001-11-01,200111,1.51
2001-12-01,200112,1.54
2002-01-01,200201,1.54
2002-02-01,200202,1.54
2002-03-01,200203,1.54
2002-04-01,200204,1.52
2002-05-01,200205,1.55
2002-06-01,200206,1.55
2002-07-01,200207,1.54
2002-08-01,200208,1.53
2002-09-01,200209,1.58
2002-10-01,200210,1.57
2002-11-01,200211,1.58
2002-12-01,200212,1.56
2003-01-01,200301,1.56
2003-02-01,200302,1.59
2003-03-01,200303,1.59
2003-04-01,200304,1.58
2003-05-01,200305,1.58
2003-06-01,200306,1.56
2003-07-01,200307,1.54
2003-08-01,200308,1.52
2003-09-01,200309,1.54
2003-10-01,200310,1.55
2003-11-01,200311,1.56
2003-12-01,200312,1.55
2004-01-01,200401,1.55
2004-02-01,200402,1.55
2004-03-01,200403,1.54
2004-04-01,200404,1.57
2004-05-01,200405,1.55
2004-06-01,200406,1.58
2004-07-01,200407,1.58
2004-08-01,200408,1.59
2004-09-01,200409,1.55
2004-10-01,200410,1.55
2004-11-01,200411,1.55
2004-12-01,200412,1.53
2005-01-01,200501,1.56
2005-02-01,200502,1.54
2005-03-01,200503,1.54
2005-04-01,200504,1.53
2005-05-01,200505,1.54
2005-06-01,200506,1.48
2005-07-01,200507,1.44
2005-08-01,200508,1.47
2005-09-01,200509,1.48
2005-10-01,200510,1.49
2005-11-01,200511,1.49
2005-12-01,200512,1.5
2006-01-01,200601,1.47
2006-02-01,200602,1.48
2006-03-01,200603,1.49
2006-04-01,200604,1.48
