MonthDate,YearMonthKey,ISR_SA,ISR_NSA,Gap_abs,Gap_pct
2024-08-01,202408,1.33,1.27,0.06,4.724409448818902
2024-09-01,202409,1.33,1.41,-0.0799999999999998,-5.6737588652482165
2024-10-01,202410,1.32,1.35,-0.03,-2.222222222222224
2024-11-01,202411,1.31,1.33,-0.02,-1.503759398496242
2024-12-01,202412,1.29,1.15,0.1400000000000001,12.173913043478272
2025-01-01,202501,1.31,1.4,-0.0899999999999998,-6.428571428571418
2025-02-01,202502,1.31,1.47,-0.1599999999999999,-10.884353741496597
2025-03-01,202503,1.29,1.28,0.01,0.7812500000000007
2025-04-01,202504,1.29,1.29,0.0,0.0
2025-05-01,202505,1.3,1.23,0.07,5.691056910569111
2025-06-01,202506,1.29,1.3,-0.01,-0.7692307692307698
2025-07-01,202507,1.29,1.24,0.05,4.032258064516133
