MonthDate,YearMonthKey,ISR_SA,ISR_SA_prev,MoM_pct
2024-08-01,202408,1.33,1.31,1.5267175572519098
2024-09-01,202409,1.33,1.33,0.0
2024-10-01,202410,1.32,1.33,-0.7518796992481209
2024-11-01,202411,1.31,1.32,-0.7575757575757582
2024-12-01,202412,1.29,1.31,-1.5267175572519098
2025-01-01,202501,1.31,1.29,1.5503875968992262
2025-02-01,202502,1.31,1.31,0.0
2025-03-01,202503,1.29,1.31,-1.5267175572519098
2025-04-01,202504,1.29,1.29,0.0
2025-05-01,202505,1.3,1.29,0.7751937984496131
2025-06-01,202506,1.29,1.3,-0.7692307692307698
2025-07-01,202507,1.29,1.29,0.0
