MonthDate,YearMonthKey,ISR_SA,Percentil_10y
2024-08-01,202408,1.33,43.333333333333336
2024-09-01,202409,1.33,44.166666666666664
2024-10-01,202410,1.32,42.5
2024-11-01,202411,1.31,41.66666666666667
2024-12-01,202412,1.29,37.5
2025-01-01,202501,1.31,43.333333333333336
2025-02-01,202502,1.31,44.166666666666664
2025-03-01,202503,1.29,38.333333333333336
2025-04-01,202504,1.29,39.166666666666664
2025-05-01,202505,1.3,43.333333333333336
2025-06-01,202506,1.29,40.0
2025-07-01,202507,1.29,40.833333333333336
