"Code","Category","Description","Size","Total Inventory","Price","Sale Price","Sale End Date"
"24953","AMERICAN RED","GROTH CABERNET 750ML","750ML","0","$82.99",,
"171911","STRAIGHT BOURBON WHISKEY","STONESTREET FOUNDERS EDITION BOURBON 750ML","750ML","0","$66.99",,
"246354","AMERICAN WHITE","DECOY FEATHERWEIGHT CHARDONNAY 750ML","750ML","0","$19.99",,
"171080","ITALIAN WHITE WINE","VILLARINI GRILLO 750ML","750ML","0","$17.99",,
"171381","TEQUILA","SIEMBRA ALTENO TEQUILA BLANCO 750ML","750ML","0","$87.99",,
"300588","AUSTRALIAN","JACOBS CREEK MOSCATO - 750ML","750ML","0","$9.99",,
"337217","AMERICAN RED","BELLE GLOSS LAS ALTURAS P/NOIR - 750ML","750ML","0","$54.99",,
"169796","DOMESTIC VODKA FLAVORS","WHIPSHOTS LIME INFUSED WHIPPED CREAM VODKA 200ML","200ML","0","$13.99",,
"88812","NON-ALCOHOLIC MIXERS","STIRRINGS SIMPLE SYRUP - 12.0Z","12.0Z","270","$4.99",,
"91436","TEQUILA","MILAGRO ANEJO TEQUILA 375ML","375ML","0","$21.99",,
"247987","SPARKLING","CASTELLO DEL POGGIO PROSECCO - 750ML","750ML","0","$12.99",,
"242102","AMERICAN WHITE","FREEMARK ABBEY CHARD - 750ML","750ML","258","$36.99",,
"171217","DOMESTIC CORDIALS","MCCLINTOCK SPICED PEAR LIQUEUR - 750ML","750ML","0","$23.99",,
"574535","AMERICAN RED","JUSTIN RESERVE CAB SAUV - 750ML","750ML","0","$62.99",,
"310029","SPARKLING","ZONIN PROSECCO - 750ML","750ML","0","$14.99",,
"234798","AMERICAN RED","LA JOTA VYD HOWELL MTN CAB/FR - 750ML","750ML","0","$193.99",,
"171700","SESSION RTD","SEACRETS PEACH VODKA & SODA RTD 6/4PK 12OZ CAN - 12.0Z (4-Pack)","4pk","0","$17.99",,
"346339","IMPORTED RUM","PLANTERAY PINEAPPLE RUM 750ML","750ML","0","$42.99",,
"171592","SESSION RTD","MINUTE MAID SPIKED VODKA PUNCH VAR PK 3/8PK 355ML (8-Pack)","8pk","0","$18.99",,
"89027","LIQ BASED RTD","BUZZBALLZ COCKTAILS BIGGIES BERRY CHERRY LIMEADE - 1.75L","1.75L","0","$19.99",,
"91440","TEQUILA","MILAGRO SILVER TEQUILA 375ML","375ML","0","$14.99",,
"307368","ITALIAN RED WINE","TIAMO PROSECCO ORGANIC - 750ML","750ML","24","$18.99",,
"312776","ITALIAN WHITE WINE","ZONIN P/GRIG - 750ML","750ML","0","$8.99",,
"54121","IRISH WHISKEY","McCONNELL'S IRISH WHISKEY- SHERRY CASK - 750ML","750ML","0","$38.99",,
"13844","DOMESTIC RUM FLAVORS","LYON RUM TRIO 375ML","375ML","0","$54.99",,
"43605","RHONE RED WINE","GRAND VENEUR CDR ROUGE - 750ML","750ML","72","$18.99",,
"42597","STORE SUPPLIES","WHISTLEPIG MAPLE SYRUP - 375ML","375ML","0","$19.99",,
