"Date","Item","Item description","Quantity","Unit Of Measure"
"11/22/2019","95800","MODELO ESPECIAL-2/12 CAN - 12OZ","36","BTL"
"11/22/2019","23837","ICEHOUSE CANS - 24OZ","8","BTL"
"11/22/2019","51153","BUD LIGHT PLATINUM 1/15PK 25OZ CAN","15","BTL"
"11/22/2019","88402","KEYSTONE ICE 2/15PK 12.Z CAN","30","BTL"
"11/22/2019","48973","BUD HOLIDAY STEIN 30PK CAN","121","BTL"
"11/22/2019","238442","REQUIEM CAB SAUV - 750ML","1","BTL"
"11/22/2019","23307","MICHELOB ULTRA 24/12 PREPRINT LSE-NR","1","BTL"
"11/22/2019","62998","EVOLUTION DAY CRUSH SOUR 4/6 CANS","6","BTL"
"11/22/2019","61034","DOGFISH HEAD 90 MINUTE IMPERIAL IPA 4/6 NR","6","BTL"
"11/22/2019","26259","STEEL RESERVE BLACKBERRY CANS 12/CS - 24OZ","12","BTL"
"11/22/2019","335273","CANARD DUCHENE BRUT AUTH - 750ML","6","BTL"
"11/22/2019","96750","CORONA EXTRA 2/12 NR - 12OZ","48","BTL"
"11/22/2019","93505","SAM ADAMS WINTERLAGER 4/6 LN - 12OZ","6","BTL"
"11/22/2019","90468","BUD LIGHT 30PK CAN","30","BTL"
"11/22/2019","428515","TOMASELLO CHERRY WINE - 500ML","1","BTL"
"11/22/2019","47503","MENAGE A TROIS RED - 750ML","1","BTL"
"11/22/2019","68596","CHATEAU LA TUILERIE DU PUY BORDEAUX 750ML","12","BTL"
"11/22/2019","26639","DC BRAU CORRUPTION IPA 4/6 CANS - 12OZ","6","BTL"
"11/22/2019","26187","STELLA ARTOIS LOOSE NR - 11.2OZ","24","BTL"
"11/22/2019","99708","SIERRA NEVADA PALE ALE 2/12 NR - 12OZ","24","BTL"
"11/22/2019","23837","ICEHOUSE CANS - 24OZ","8","BTL"
"11/22/2019","25824","ANDERSON WINTER SOLSTICE 4/6 CAN - 12OZ","6","BTL"
"11/22/2019","50716","MILWAUKEE BEST 2/15PK CAN - 12OZ","15","BTL"
"11/22/2019","93505","SAM ADAMS WINTERLAGER 4/6 LN - 12OZ","6","BTL"
"11/22/2019","48945","SHOCK TOP BELGIAN WHITE 2/15PK CAN","15","BTL"
"11/22/2019","90905","HEINEKEN 12/24.0Z CAN - 24OZ","1","BTL"
"11/22/2019","25824","ANDERSON WINTER SOLSTICE 4/6 CAN - 12OZ","6","BTL"
"11/22/2019","23307","MICHELOB ULTRA 24/12 PREPRINT LSE-NR","1","BTL"
"11/22/2019","91669","MILLER LITE 2/12 CAN - 12OZ","12","BTL"
"11/22/2019","96776","NEWCASTLE BROWN ALE 4/6 NR - 12OZ","24","BTL"
"11/22/2019","95800","MODELO ESPECIAL-2/12 CAN - 12OZ","36","BTL"
"11/22/2019","68942","MICHELOB ULTRA 18PK NR - 12OZ","18","BTL"
"11/22/2019","84923","CYT FRONTERA CAB - 1.5L","1","BTL"
"11/22/2019","90611","ICEHOUSE 30PK CAN - 12OZ","30","BTL"
"11/22/2019","26087","HOFBRAU DUNKEL 4/6NR - 11.2OZ","24","BTL"
"11/22/2019","98744","STELLA ARTOIS 4/6 NR - 11.2OZ","48","BTL"
"11/22/2019","50633","SMIRNOFF ICE SMASH STRAW LEMON 23.5 OZ CAN","1","BTL"
"11/22/2019","69060","CORONITA LOOSE NR 24/CS - 7OZ","2","BTL"
"11/22/2019","231919","LEGENDARY EST SERIES S/BLC - 750ML","12","BTL"
"11/22/2019","97659","KINGFISHER 4/6 NR","24","BTL"
"11/22/2019","94072","COORS 4/6 LNNR - 12OZ","24","BTL"
"11/22/2019","23968","MILLER LITE BIG 18 PK CANS - 16OZ","18","BTL"
"11/22/2019","26087","HOFBRAU DUNKEL 4/6NR - 11.2OZ","24","BTL"
"11/22/2019","26187","STELLA ARTOIS LOOSE NR - 11.2OZ","24","BTL"
"11/22/2019","26145","BUD 18PK 16OZ CAN - 16OZ","39","BTL"
"11/22/2019","26639","DC BRAU CORRUPTION IPA 4/6 CANS - 12OZ","6","BTL"
"11/22/2019","90468","BUD LIGHT 30PK CAN","30","BTL"
"11/22/2019","61034","DOGFISH HEAD 90 MINUTE IMPERIAL IPA 4/6 NR","6","BTL"
"11/22/2019","51153","BUD LIGHT PLATINUM 1/15PK 25OZ CAN","15","BTL"
"11/22/2019","96920","PERONI 4/6 NR - 12OZ","6","BTL"
"11/22/2019","90590","MILLER LITE 30PK CAN - 12OZ","30","BTL"
"11/22/2019","26272","BUD LIGHT 15/25OZ CANS","15","BTL"
"11/22/2019","23886","HEINEKEN LOOSE NR - 12OZ","24","BTL"
"11/22/2019","84923","CYT FRONTERA CAB - 1.5L","1","BTL"
"11/22/2019","69060","CORONITA LOOSE NR 24/CS - 7OZ","2","BTL"
"11/22/2019","47503","MENAGE A TROIS RED - 750ML","1","BTL"
"11/22/2019","48945","SHOCK TOP BELGIAN WHITE 2/15PK CAN","15","BTL"
"11/22/2019","23070","CORONA EXTRA 2/12 CAN - 12OZ","12","BTL"
"11/22/2019","68942","MICHELOB ULTRA 18PK NR - 12OZ","18","BTL"
"11/22/2019","351608","AUSTIN HOPE CAB - 750ML","5","BTL"
"11/22/2019","335273","CANARD DUCHENE BRUT AUTH - 750ML","6","BTL"
"11/22/2019","90611","ICEHOUSE 30PK CAN - 12OZ","30","BTL"
"11/22/2019","52108","YELLOW TAIL CAB - 1.5L","6","BTL"
"11/22/2019","3450","MILLER LITE 2/12 LNNR - 12OZ","24","BTL"
"11/22/2019","80738","BAREFOOT CEL S/BLC - 750ML","12","BTL"
"11/22/2019","91030","BUD 18PK CAN - 12OZ","18","BTL"
"11/22/2019","69086","BLUE MOON BLGM WHTE ALE 2/12NR - 12OZ","24","BTL"
"11/22/2019","91693","PABST 2/12 CAN - 12OZ","12","BTL"
"11/22/2019","93602","MILLER HIGH LIFE 2/12 LNNR - 12OZ","24","BTL"
"11/22/2019","88402","KEYSTONE ICE 2/15PK 12.Z CAN","30","BTL"
"11/22/2019","91090","COORS LT 18PK CAN - 12OZ","54","BTL"
"11/22/2019","25603","FLYING DOG THE TRUTH 4/6NR - 12OZ","6","BTL"
"11/22/2019","50716","MILWAUKEE BEST 2/15PK CAN - 12OZ","15","BTL"
"11/22/2019","63394","BELLS TWO HEARTED ALE 2/12 CANS","12","BTL"
"11/22/2019","99708","SIERRA NEVADA PALE ALE 2/12 NR - 12OZ","24","BTL"
"11/22/2019","428515","TOMASELLO CHERRY WINE - 500ML","1","BTL"
"11/22/2019","90204","MICHELOB ULTRA 2/12 LNNR - 12OZ","12","BTL"
"11/22/2019","231919","LEGENDARY EST SERIES S/BLC - 750ML","12","BTL"
"11/22/2019","12976","ATLAS DANCE OF DAYS 4/6 CAN","6","BTL"
"11/22/2019","26259","STEEL RESERVE BLACKBERRY CANS 12/CS - 24OZ","12","BTL"
"11/22/2019","72753","CYT FRONTERA CAB/MER - 1.5L","6","BTL"
