Licensee Name,Street,City,State,Zip,Licensee Number,Channel Type,Account Name,RTD Contract,Location
ELYSIUM LOUNGE,8211 GEORGIA AVENUE,SILVER SPRING,MD,20910,BBWLHR1691544,On Premise,EDEN WEST LLC,No,"8211 GEORGIA AVENUE
SILVER SPRING, MD 20910
(38.99201, -77.0266)"
SHAKE SHACK,7997 TUCKERMAN LANE,POTOMAC,MD,20854,HBWHR37155,On Premise,"SHAKE SHACK POTOMAC MD,LLC",No,"7997 TUCKERMAN LANE
POTOMAC, MD 20854
(39.04148, -77.15888)"
AHADU MARKET,8107 FENTON STREET,SILVER SPRING,MD,20910,ABWS1164495,Off Premise,AHADU MARKET LLC,No,"8107 FENTON STREET
SILVER SPRING, MD 20910
(38.99071, -77.0238)"
DICKERSON MARKET,PO BOX 175,DICKERSON,MD,20842,ABW052,Off Premise,"DICKERSON SERVICES, INC.",No,"PO BOX 175
DICKERSON, MD 20842"
Z-N-KEMEKEM BAR & LOUNGE,,,,,BBWLHR973418,On Premise,KEMEKEM LLC,No,
TALLY HO RESTUARANT,9923 FALLS RD,POTOMAC,MD,20854,HBW22790,On Premise,TALLY HO,No,"9923 FALLS RD
POTOMAC, MD 20854
(39.01852, -77.20831)"
FOOD STOP MINI MART,4820 BOILING BROOK PARKWAY,ROCKVILLE,MD,20852,ABW091,Off Premise,"BOILING BROOK PARKWAY FOODS, I",Yes,"4820 BOILING BROOK PARKWAY
ROCKVILLE, MD 20852
(39.04616, -77.09845)"
BONFIELDS MARKET,6124 MACARTHUR BLVD.,BETHESDA,MD,20816,DBW224260,On/Off-Premise,"BONFIELDS MARKET, LLC",No,"6124 MACARTHUR BLVD.
BETHESDA, MD 20816
(38.94367, -77.11595)"
THAI COTTAGE BISTRO,9613 MEDICAL CENTER DR. UNIT G,ROCKVILLE,MD,20850,BBWHR1127446,On/Off-Premise,"THAI COTTAGE BISTRO, INC",No,"9613 MEDICAL CENTER DR. UNIT G
ROCKVILLE, MD 20850
(39.10228, -77.19612)"
BURTONS GRILL & BAR,109 COMMERCE SQUARE PL.,GAITHERSBURG,MD,20878,BDBWL310263,On/Off-Premise,"BURTONS GRILL OF GAITH., LLC",No,"109 COMMERCE SQUARE PL.
GAITHERSBURG, MD 20878
(39.12251, -77.23384)"
WE ART FUN PAINTING STUDIO,"19847 CENTURY BOULEVARD, SUITE G",GERMANTOWN,MD,20874,SAGBW1214499,On Premise,RRL LLC,No,"19847 CENTURY BOULEVARD, SUITE G
GERMANTOWN, MD 20874
(39.1814, -77.2657)"
SPICE GRILL,12611-G WISTERIA DRIVE,GERMANTOWN,MD,20874,HBW346,On Premise,"INDIA GARDEN, INC",No,"12611-G WISTERIA DRIVE
GERMANTOWN, MD 20874
(39.17046, -77.26084)"
BB.Q CHICKEN,9712 TRAVILLE GATEWAY DRIVE,ROCKVILLE,MD,20850,BBWLHR1179497,On Premise,"BIGPRO INVESTMENT, INC.",No,"9712 TRAVILLE GATEWAY DRIVE
ROCKVILLE, MD 20850
(39.09157, -77.20405)"
TALBOTT BEER & WINE,1071 ROCKVILLE PIKE,ROCKVILLE,MD,20852,ABW814373,Off Premise,"Talbott Wine Cellars, LLC",Yes,"1071 ROCKVILLE PIKE
ROCKVILLE, MD 20852
(39.07113, -77.1329)"
PACCI'S TRATTORIA,6 POST OFFICE ROAD,SILVER SPRING,MD,20910,BBWLHR680,On Premise,"PACCI'S TRATTORIA, LLC",No,"6 POST OFFICE ROAD
SILVER SPRING, MD 20910
(39.01504, -77.05539)"
BETHESDA CURRY KITCHEN,4860 CORDELL AVENUE,BETHESDA,MD,20814,BBWLHR1071790,On Premise,"BHAIRAVI, LLC",No,"4860 CORDELL AVENUE
BETHESDA, MD 20814
(38.98981, -77.09767)"
WISTERIA BEER & WINE,"13220 WISTERIA DRIVE, UNIT #4",GERMANTOWN,MD,20874,DBW276,On/Off-Premise,"WISTERIA BEER & WINE, LLC",Yes,"13220 WISTERIA DRIVE, UNIT #4
GERMANTOWN, MD 20874
(39.18075, -77.27603)"
KPOT HOT POT & BBQ,5550 RANDOLPH RD,ROCKVILLE,MD,20852,BBWLHR32900,On Premise,"ROCK HOT POT & BBQ, INC.",No,"5550 RANDOLPH RD
ROCKVILLE, MD 20852
(39.05259, -77.11196)"
CAMPEON,902 MERRIMAC DRIVE,TAKOMA PARK,MD,20912,HBW321,On Premise,"CAMPEON, INC",No,"902 MERRIMAC DRIVE
TAKOMA PARK, MD 20912
(38.99252, -76.99232)"
KOREAN KORNER,12207 VEIRS MILL ROAD,SILVER SPRING,MD,20906,ABW107,Off Premise,"KOREAN KORNER, INC.",No,"12207 VEIRS MILL ROAD
SILVER SPRING, MD 20906
(39.05704, -77.08239)"
FRYER'S ROADSIDE,12830 NEW HAMPSHIRE AVENUE,SILVER SPRING,MD,20904,BDBWL1706544,On/Off-Premise,"FRYER'S ROADSIDE, LLC",No,"12830 NEW HAMPSHIRE AVENUE
SILVER SPRING, MD 20904
(39.06575, -77.00077)"
ZT-SHEBA RESTAURANT,,,,,HBWHR34236,On Premise,"TAZZO, LLC",No,
OSAKA RAMEN & SUSHI,12146 DARNESTOWN RD,GAITHERSBURG,MD,20878,BBWHR1406544,On/Off-Premise,PD98 LLC,No,"12146 DARNESTOWN RD
GAITHERSBURG, MD 20878
(39.11736, -77.25249)"
INDIA PALACE BAR & TANDOOR,19743 FREDERICK ROAD,GERMANTOWN,MD,20876,BBWLHR380,On Premise,SIMRAN INC,No,"19743 FREDERICK ROAD
GERMANTOWN, MD 20876
(39.17953, -77.23837)"
RESIDENCE INN - BETHESDA,7335 WISCONSIN AVE,BETHESDA,MD,20814,BBWLHR735,On Premise,"RLJ R BETHESDA LESSEE, LLC",No,"7335 WISCONSIN AVE
BETHESDA, MD 20814
(38.98289, -77.09342)"
AZUCAR RESTAURANT,14418 LAYHILL ROAD,SILVER SPRING,MD,20906,BBWLHR389,On Premise,"JAR-RAM & JAG, INC.",No,"14418 LAYHILL ROAD
SILVER SPRING, MD 20906
(39.09302, -77.04612)"
WILLOUGHBY MARKET,4515 WILLARD AVE,CHEVY CHASE,MD,20815,ABW175,Off Premise,CHAE UNG CHO,No,"4515 WILLARD AVE
CHEVY CHASE, MD 20815
(38.96216, -77.08983)"
BETHESDA CRAB HOUSE,4958 BETHESDA AVE,BETHESDA,MD,20814,BBWHR079,On/Off-Premise,"BETHESDA CRAB HOUSE, LLC",No,"4958 BETHESDA AVE
BETHESDA, MD 20814
(38.98064, -77.10025)"
ROYAL TANDOOR,820 MUDDY BRANCH RD.,GAITHERSBURG,MD,20878,BBWLHR485312,On Premise,"ROYAL BROTHERS, INC.",No,"820 MUDDY BRANCH RD.
GAITHERSBURG, MD 20878
(39.11415, -77.21716)"
