InventoryCode,SalesCode,MatchType,InventoryCategory,InventoryDescription,SalesItemType,SalesDescription
20850,20850,Direct,CHILE,VERAMONTE CAB SAUV - 750ML,WINE,VERAMONTE MAIPO VLY CAB - 750ML
66060,66060,Direct,ITALIAN WHITE WINE,ECCO DOMANI P/GRIG - 750ML,WINE,ECCO DOMANI P/GRIG - 750ML
86536,86536,Direct,AMERICAN RED,WM HILL CAL MERLOT - 750ML,WINE,WM HILL CENTRAL COAST MERLOT - 750ML
402435,402435,Direct,AMERICAN WHITE,A TO Z RIES - 750ML,WINE,A TO Z RIES - 750ML
81459,81459,Direct,AMERICAN TABLE WINE,SWEETLAND CELLARS TANGO PEACH - 750ML,WINE,SWEETLAND CELLARS TANGO PEACH - 750ML
10278,10278,Direct,STRAIGHT BOURBON WHISKEY,WILD TURKEY 101 - 200ML,LIQUOR,WILD TURKEY 101 - 200ML
59323,59323,Direct,STRAIGHT BOURBON WHISKEY,1792 SMALL BATCH RESERVE - 750ML,LIQUOR,1792 SMALL BATCH - 750ML
81949,81949,Direct,AMERICAN WHITE,ALMADEN CHARD BIB - 5L,WINE,ALMADEN CHARD BIB - 5L
236388,236388,Direct,SPANISH/PORTUGUESE,VINA JARABA SEL ESPECIAL RED - 750ML,WINE,VINA JARABA SEL ESPECIAL RED - 750ML
84263,84263,Direct,AMERICAN WHITE,SUTTER HOME CHARD - 750ML,WINE,SUTTER HOME CHARD - 750ML
86142,86142,Direct,AMERICAN WHITE,WOODBRIDGE S/BLC - 1.5L,WINE,WOODBRIDGE S/BLC - 1.5L
38814,38814,Direct,IMPORTED RUM,CASTILLO RUM - GOLD - 1L,LIQUOR,CASTILLO RUM - GOLD - 1L
318302,318302,Direct,AMERICAN WHITE,CYCLES GLADIATOR CHARD 750ML (1 Bottle),WINE,CYCLES GLADIATOR CHARD - 750ML
83550,83550,Direct,AMERICAN RED,WENTE VYDS SANDSTONE MER 750ML,WINE,WENTE VYDS SANDSTONE MER - 750ML
80767,80767,Direct,AMERICAN WHITE,MURPHY GOODE S/BLC THE FUME - 750ML,WINE,"MURPHY GOODE S/BLC ""THE FUME"" - 750ML"
12569,12569,Direct,IMPORTED CORDIALS,GIFFARD BANANE DU BRESIL - 750ML,LIQUOR,GIFFARD BANANE DU BRESIL - 750ML
322463,322463,Direct,TEQUILA,CASAMIGOS TEQUILA - REPOSADO - 750ML,LIQUOR,CASAMIGOS TEQUILA - REPOSADO - 750ML
66133,66133,Direct,ITALIAN WHITE WINE,CAVIT P/GRIG - 750ML,WINE,CAVIT P/GRIG - 750ML
85910,85910,Direct,AMERICAN WHITE,WOODBRIDGE CHARD - 750ML,WINE,WOODBRIDGE CHARD - 750ML
82618,82618,Direct,CHAMPAGNE,VEUVE CLICQUOT NV ROSE- GB - 750ML,WINE,VEUVE CLICQUOT NV ROSE - GB- 750ML
65714,65714,Direct,IMPORTED VODKA,ABSOLUT VODKA - 80 PROOF - 375ML,LIQUOR,ABSOLUT VODKA - 80 PROOF - 375ML
68063,68063,Direct,PORT,SANDEMAN FOUNDERS RESERVE RUBY PORTO - 750ML,WINE,SANDEMAN FOUNDERS RESERVE RUBY PORTO - 750ML
62430,62430,Direct,AMERICAN WHITE,MARK WEST CHARD - 750ML,WINE,MARK WEST CHARD - 750ML
94390,94390,Direct,DOMESTIC BOTTLE BEER,SIERRA NEVADA PALE ALE 4/6 NR - 12.0Z (6-Pack),BEER,SIERRA NEVADA PALE ALE 4/6 NR - 12OZ
71123,71123,Direct,DOMESTIC LIQUOR SPECIALTY,ROUGH RIDER BIG STICK CASK STRENGTH - 750ML,LIQUOR,ROUGH RIDER BIG STICK CASK STRENGTH
74248,74248,Direct,STRAIGHT BOURBON WHISKEY,JEFFERSON'S BOURBON VSB - 750ML (1 Bottle),LIQUOR,JEFFERSONS BOURBON VSB - 750ML
67865,67865,Direct,DOMESTIC VODKA FLAVORS,BURNETTS VODKA - RASPBERRY - 1.75L,LIQUOR,BURNETTS VODKA - RASPBERRY - 1.75L
42636,42636,Direct,TEQUILA,CASA NOBLE REPOSADO TEQ - 750ML,LIQUOR,CASA NOBLE REPOSADO TEQ - 750ML
304000,304000,Direct,LOIRE VALLEY WINE,DOM DE L'HEMONIERE S/BLC - 750ML,WINE,DOM DE L'HEMONIERE S/BLC - 750ML
30090,30090,Direct,IMPORTED GIN,BOWMAN'S GIN - 1.75L,LIQUOR,BOWMAN'S GIN - 1.75L
81302,81302,Direct,AMERICAN TABLE WINE,PETER VELLA CHABLIS BIB - 5L,WINE,PETER VELLA CHABLIS BIB - 5L
74264,74264,Direct,STRAIGHT RYE WHISKEY,MINOR CASE STRAIGHT RYE WHISKEY 750 - 750ML,LIQUOR,MINOR CASE RYE WHISKEY 750
27391,27391,Direct,IMPORTED SCOTCH,DUGGAN'S DEW SCOTCH - 750ML,LIQUOR,DUGGAN'S DEW SCOTCH - 750ML
38458,38458,Direct,IMPORTED RUM,MYERS ORIGINAL RUM - DARK - 1L,LIQUOR,MYERS ORIGINAL RUM - DARK - 1L
97104,97104,Direct,DOMESTIC BOTTLE BEER,EVOLUTION PINEHOPLE IPA - 120Z - 12.0Z (6-Pack),BEER,EVOLUTION PINEHOPLE IPA - 120Z
327422,327422,Direct,ITALIAN RED WINE,STEMMARI P/NOIR - 750ML,WINE,STEMMARI P/NOIR - 750ML
33693,33693,Direct,TEQUILA,GRAN CENTENARIO TEQUILA PLATA - 750ML,LIQUOR,GRAN CENTENARIO TEQUILA PLATA - 750ML
234798,234798,Direct,AMERICAN RED,LA JOTA VYD HOWELL MTN CAB/FR - 750ML,WINE,LA JOTA VYD HOWELL MTN CAB/FR - 750ML
41717,41717,Direct,AMERICAN WHITE,HARTFORD COURT 4 HEARTS CHARD - 750ML,WINE,HARTFORD COURT 4 HEARTS CHARD - 750ML
28215,28215,Direct,IMPORTED SCOTCH,GRANT'S SCOTCH - 1.75L,LIQUOR,GRANT'S SCOTCH - 1.75L
87661,87661,Direct,SPARKLING,ANDRE STRAWBERRY - 750ML,WINE,ANDRE STRAWBERRY MOSCATO - 750ML
85417,85417,Direct,FRANCE-OTHER,FAT BASTARD CAB - 750ML,WINE,FAT BASTARD CAB - 750ML
112771,112771,Direct,KOSHER,RASHI LIGHT WHITE CONCORD - 750ML,WINE,RASHI LIGHT WHITE CONCORD - 750ML
166587,166587,Direct,AMERICAN BLUSH,BOORDY LANDMARK ROSE DRY - 750ML,WINE,BOORDY LANDMARK ROSE DRY  - 750ML
417076,417076,Direct,ITALIAN WHITE WINE,VILLA JOLANDA MOSCATO - 750ML,WINE,VILLA JOLANDA MOSCATO - 750ML
325422,325422,Direct,NON-ALCOHOLIC WINE,SUTTER HOME FRE CHARDONNAY 750ML,NON-ALCOHOL,SUTTER HOME FRE CHARDONNAY - 750ML
341756,341756,Direct,NEW ZEALAND,THE LITTLE SHEEP S/BLC - 750ML,WINE,THE LITTLE SHEEP S/BLC - 750ML
70246,70246,Direct,TEQUILA,1800 SILVER TEQUILA 1.75L,LIQUOR,1800 SILVER TEQUILA - 1.75L
114,114,Direct,STORE SUPPLIES,WINE PAPER GIFT TOTE SINGLE BOTTLE - UNIT,STR_SUPPLIES,WINE PAPER GIFT TOTE SINGLE BOTTLE
80891,80891,Direct,AMERICAN RED,PROPHECY P/NOIR - 750ML,WINE,PROPHECY P/NOIR  - 750ML
89333,89333,Direct,AUSTRALIAN,YELLOW TAIL MOSCATO - 1.5L,WINE,YELLOW TAIL MOSCATO - 1.5L
44332,44332,Direct,WHITE BURGUNDY WINE,LOUIS LATOUR MACON LUGNY - 750ML,WINE,LOUIS LATOUR MACON LUGNY - 750ML
352846,352846,Direct,ITALIAN WHITE WINE,CANTINA COLLI EUGANEI PINOT GRIGIO - 750ML,WINE,CANTINA COLLI EUGANEI PINOT GRIGIO - 750ML
419338,419338,Direct,CHILE,LA PLAYA S/BLC - 750ML,WINE,LA PLAYA S/BLC - 750ML
318791,318791,Direct,STRAIGHT BOURBON WHISKEY,SMOOTH AMBLER OLD SCOUT BOURBON - 750ML,LIQUOR,SMOOTH AMBLER OLD SCOUT BOURBON - 750ML
70894,70894,Direct,DOMESTIC VODKA FLAVORS,SMIRNOFF VODKA - RED WHITE AND BERRY - 750ML,LIQUOR,SMIRNOFF VODKA - RED WHITE AND BERRY -750ML
85995,85995,Direct,AMERICAN WHITE,WOODBRIDGE CHARD - 1.5L,WINE,WOODBRIDGE CHARD - 1.5L
84134,84134,Direct,AMERICAN RED,BERINGER CAL MERLOT - 1.5L,WINE,BERINGER CAL MERLOT - 1.5L
82589,82589,Direct,AMERICAN WHITE,R STRONG SONOMA CHARD - 750ML,WINE,R STRONG SONOMA CHARD - 750ML
10434,10434,Direct,DOMESTIC BOTTLE BEER,LAGUNITAS IPA - 12.0Z (6-Pack),BEER,LAGUNITAS IPA 4/6 NR - 12OZ
72006,72006,Direct,TEQUILA,CORRALEJO TEQUILA BLANCO - 750ML,LIQUOR,CORRALEJO TEQUILA BLANCO - 750ML
82520,82520,Direct,AMERICAN RED,FRANZIA CAB BIB - 5L,WINE,FRANZIA CAB BIB - 5L
75752,75752,Direct,TEQUILA,HERRADURA TEQUILA - SILVER - 750ML,LIQUOR,HERRADURA TEQUILA - SILVER - 750ML
84038,84038,Direct,AMERICAN WHITE,K JACKSON AVANT CHARD - 750ML (1 Bottle),WINE,K JACKSON AVANT CHARD - 750ML
239768,239768,Direct,AMERICAN BLUSH,WOODBRIDGE ROSE - 1.5L,WINE,WOODBRIDGE ROSE - 1.5L
169161,169161,Direct,NON-ALCOHOLIC WINE,ARIEL CHARD NON ALCOHOLIC - 750ML,NON-ALCOHOL,ARIEL CHARD NON ALCOHOLIC - 750ML
75497,75497,Direct,IMPORTED RUM,BACARDI RESERVA LIMITADA - 750ML,LIQUOR,BACARDI RESERVA LIMITADA - 750ML
46305,46305,Direct,AMERICAN WHITE,LAYER CAKE CHARD 750ML,WINE,LAYER CAKE CHARD - 750ML
38873,38873,Direct,IMPORTED RUM FLAVORS,CAPTAIN MORGAN SPICED RUM - 750ML,LIQUOR,CAPTAIN MORGAN SPICED RUM - 750ML
83413,83413,Direct,AMERICAN WHITE,BONTERRA S/BLC - 750ML,WINE,BONTERRA S/BLC - 750ML
73016,73016,Direct,SPANISH/PORTUGUESE,CRUZ GARCIA REAL SANGRIA RED 750ML,WINE,CRUZ GARCIA REAL SANGRIA RED - 750ML
58319,58319,Direct,AUSTRALIAN,YELLOW TAIL P/GRIG - 750ML,WINE,YELLOW TAIL P/GRIG - 750ML
81604,81604,Direct,AMERICAN WHITE,TREFETHEN ESTATE CHARD - 750ML,WINE,TREFETHEN ESTATE CHARD - 750ML
80723,80723,Direct,AUSTRALIAN,YELLOW TAIL P/GRIG - 1.5L,WINE,YELLOW TAIL P/GRIG - 1.5L
302853,302853,Direct,AMERICAN WHITE,LIBERTY CREEK P/GRIG - 1.5L,WINE,LIBERTY CREEK P/GRIG - 1.5L
73534,73534,Direct,DOMESTIC VODKA,NEW AMSTERDAM VODKA - 1.75L (1 Bottle),LIQUOR,NEW AMSTERDAM VODKA - 1.75L
341782,341782,Direct,LOIRE VALLEY WINE,90+ CELLARS LOT 126 SANC - 750ML,WINE,90+ CELLARS LOT 126 SANC - 750ML
333629,333629,Direct,NEW ZEALAND,YEALANDS S/BLC - 750ML,WINE,YEALANDS S/BLC - 750ML
40029,40029,Direct,DOMESTIC BRANDY,E&J BRANDY VS - 1L,LIQUOR,E&J BRANDY VS - 1L
55107,55107,Direct,PRE-MIX COCKTAILS,CHI-CHI'S PINA COLADA - 1.75L,LIQUOR,CHI-CHI'S PINA COLADA - 1.75L
33243,33243,Direct,AMERICAN TABLE WINE,MD 20/20 BLUE RASPBERRY - 750ML,WINE,MD 20/20 BLUE RASPBERRY - 750ML
86127,86127,Direct,SPANISH/PORTUGUESE,VINA EGUIA RIOJA RESERVA 750ML,WINE,VINA EGUIA RESERVA - 750ML
74041,74041,Direct,STRAIGHT BOURBON WHISKEY,LARCENY KY STRAIGHT BOURBON WHISKEY - 1.75L,LIQUOR,LARCENY KY STRAIGHT BOURBON WHISKEY- 1.75L
351608,351608,Direct,AMERICAN RED,AUSTIN HOPE CAB - 750ML,WINE,AUSTIN HOPE CAB - 750ML
41912,41912,Direct,NON-ALCOHOLIC MIXERS,FEVER TREE PREM TONIC 6/4PK - 200ML (4-Pack),NON-ALCOHOL,FEVER TREE PREM INDIAN TONIC 6/4PK - 200ML
70234,70234,Direct,STRAIGHT BOURBON WHISKEY,FOUR ROSES SMALL BATCH BOURB - 750ML (1 Bottle),LIQUOR,FOUR ROSES SMALL BATCH BOURBON - 750ML
38091,38091,Direct,TEQUILA,MONTEZUMA TEQUILA - GOLD - 1.75L,LIQUOR,MONTEZUMA TEQUILA - GOLD - 1.75L
238074,238074,Direct,DOMESTIC LIQUOR SPECIALTY,BELLE ISLE PREM MOONSHINE BLOOD ORANGE - 750ML,LIQUOR,BELLE ISLE PREM MOONSHINE BLOOD ORANGE - 750ML
391360,391360,Direct,SPANISH/PORTUGUESE,BODEGAS ALTO MONCAYO VERATON - 750ML,WINE,BODEGAS ALTO MONCAYO VERATON - 750ML
166517,166517,Direct,WINE-BASED COOLERS,RANCHO LA GLORIA RTD MARGARITA - 750ML,WINE,RANCHO LA GLORIA RTD MARGARITA  - 750ML
70494,70494,Direct,DOMESTIC VODKA FLAVORS,SVEDKA PEACH VODKA - 750ML,LIQUOR,SVEDKA VODKA - PEACH - 750ML
73524,73524,Direct,DOMESTIC VODKA,NEW AMSTERDAM VODKA - 1L,LIQUOR,NEW AMSTERDAM VODKA - 1L
42405,42405,Direct,STRAIGHT BOURBON WHISKEY,GEORGE DICKEl BARREL SELECT - 750ML,LIQUOR,GEORGE DICKLE BARREL SELECT - 750ML
340355,340355,Direct,AMERICAN WHITE,RAEBURN SONOMA CHARD 750ML,WINE,RAEBURN RR CHARD - 750ML
315537,315537,Direct,RED BORDEAUX WINE,CH D'OUPIA HERETIQUES RGE - 750ML,WINE,CH D'OUPIA HERETIQUES RGE - 750ML
85067,85067,Direct,AMERICAN BLUSH,BERINGER PINK MOSCATO - 750ML,WINE,BERINGER PINK MOSCATO - 750ML
42830,42830,Direct,IMPORTED CORDIALS,ST GERMAINE ELDERFLOWER LIQ - 750ML,LIQUOR,ST GERMAINE ELDERFLOWER LIQ - 750ML
234304,234304,Direct,ITALIAN RED WINE,FAMIGLIA CASTELLANI SANG TOSC COLLESANO - 750ML,WINE,FAMIGLIA CASTELLANI SANG TOSC COLLESANO - 750ML
70489,70489,Direct,IMPORTED VODKA FLAVORS,VAN GOGH DUTCH CARAMEL VOD - 750ML,LIQUOR,VAN GOGH DUTCH CARAMEL VOD - 750ML
308544,308544,Direct,KOSHER,CH CAMPLAY BORD SUPERIEUR KOSH - 750ML,WINE,CH CAMPLAY BORD SUPERIEUR KOSH - 750ML
24589,24589,Direct,ITALIAN RED WINE,SAN GUIDO GUIDALBERTO - 750ML,WINE,SAN GUIDO GUIDALBERTO - 750ML
50512,50512,Direct,IMPORTED CORDIALS,CAFFE LOLITA COFFEE - 750ML,LIQUOR,CAFFE LOLITA COFFEE - 750ML
234250,234250,Direct,AMERICAN WHITE,STONESTREET ESTATE A/V CHARD - 750ML,WINE,STONESTREET ESTATE A/V CHARD - 750ML
39322,39322,Direct,TEQUILA,MILAGRO SILVER TEQUILA 80 - 750ML,LIQUOR,MILAGRO SILVER TEQUILA 80 - 750ML
41747,41747,Direct,NEW ZEALAND,OYSTER BAY MER - 750ML,WINE,OYSTER BAY MER - 750ML
82775,82775,Direct,AMERICAN WHITE,FETZER VALLEY OAK  CHARD - 750ML,WINE,FETZER VALLEY OAK CHARD - 750ML
239518,239518,Direct,TEQUILA,ILEGAL MEZCAL REPOSADO - 750ML,LIQUOR,ILEGAL MEZCAL REPOSADO - 750ML
29955,29955,Direct,TEQUILA,PATRON TEQUILA - REPOSADO - 750ML,LIQUOR,PATRON TEQUILA - REPOSADO - 750ML
96920,96920,Direct,IMPORTED BOTTLE BEER,PERONI 4/6 NR - 12.0Z (6-Pack),BEER,PERONI 4/6 NR - 12OZ
10430,10430,Direct,DOMESTIC BOTTLE BEER,STONE IPA 4/6 NR - 12.0Z (6-Pack),BEER,STONE IPA 4/6 NR - 12OZ
48259,48259,Direct,IMPORTED CORDIALS,JAGERMEISTER LIQUEUR - 1L,LIQUOR,JAGERMEISTER LIQUEUR - 1L
75027,75027,Direct,AMERICAN RED,BERINGER FOUNDERS EST CAB - 1.5L,WINE,BERINGER FOUNDERS EST CAB - 1.5L
79081,79081,Direct,SPARKLING,MARTINI & ROSSI ASTI - 750ML,WINE,MARTINI & ROSSI ASTI - 750ML
82421,82421,Direct,NON-ALCOHOLIC MIXERS,GEORGES BLOODY MARY OLD BAY - 1L,NON-ALCOHOL,GEORGES BLOODY MARY OLD BAY - LITER
81704,81704,Direct,SPARKLING,BAREFOOT BUBBLY CAL P/GRIG - 750ML,WINE,BAREFOOT BUBBLY CAL P/GRIG - 750ML
75388,75388,Direct,CHAMPAGNE,MUMM NAPA VALLEY BRUT ROSE 750ML,WINE,MUMMS NAPA VALLEY BRUT ROSE - 750ML
306224,306224,Direct,SPARKLING,DR LOOSE DR L SPARK RIES NV - 750ML,WINE,DR LOOSE DR L SPARK RIES NV - 750ML
383449,383449,Direct,ALSATIAN WINE,WOLFBERGER GEW SILVER MEDAL - 750ML,WINE,WOLFBERGER GEW SILVER MEDAL - 750ML
350024,350024,Direct,AMERICAN RED,JUGGERNAUT CABERNET SAUVIGNON - 750ML,WINE,JUGGERNAUT CABERNET SAUVIGNON - 750ML
16705,16705,Direct,IMPORTED CORDIALS,HPNOTIQ LIQUEUR - 750ML,LIQUOR,HPNOTIQ LIQUEUR - 750ML
342137,342137,Direct,AMERICAN RED,LINGANORE MOUNTAIN BERRY - 750ML,WINE,LINGANORE MOUNTAIN BERRY - 750ML
80942,80942,Direct,DOMESTIC DESSERT WINE,CRIBARI MARSALA - 750ML,WINE,CRIBARI MARSALA - 750ML
105,105,Direct,STORE SUPPLIES,WINE GIFT TOTE SINGLE BOTTLE - BAG,STR_SUPPLIES,WINE GIFT TOTE SINGLE BOTTLE
85374,85374,Direct,AMERICAN RED,DARK HORSE DOUBLE DOWN RED - 750ML,WINE,DARK HORSE DOUBLE DOWN RED
309791,309791,Direct,ITALIAN WHITE WINE,RUFFINO LUMINA P/GRIG - 1.5L (1 Bottle),WINE,RUFFINO LUMINA P/GRIG - 1.5L
345089,345089,Direct,ITALIAN RED WINE,CAST BANFI BRUNELLO - 750ML,WINE,CAST BANFI BRUNELLO - 750ML
35858,35858,Direct,DOMESTIC VODKA,BOWMAN'S VODKA - 1L,LIQUOR,BOWMAN'S VODKA - 1L
10480,10480,Direct,ARMAGNAC,CHATEAU LAUBADE ARMAGNAC VSOP - 750ML,LIQUOR,CHATEAU LAUBADE ARMAGNAC VSOP - 750ML
70939,70939,Direct,SHERRY,TAYLOR CREAM SHERRY - 3L,WINE,TAYLOR CREAM SHERRY - 3L
19569,19569,Direct,IMPORTED RUM FLAVORS,CRUZAN BANANA - 750ML,LIQUOR,CRUZAN BANANA - 750ML
71216,71216,Direct,DOMESTIC VODKA FLAVORS,NEW AMSTERDAM VODKA - COCONUT - 750ML,LIQUOR,NEW AMSTERDAM VODKA - COCONUT - 750ML
63799,63799,Direct,DOMESTIC SCOTCH,BALVENIE 12YR SWEET TOAST AMERICAN OAK 750ML,LIQUOR,BALVENIE 12YR SWEET TOAST AMERICAN OAK 750ML
84610,84610,Direct,RED BURGUNDY WINE,LE GRAND NOIR P/NOIR - 750ML,WINE,LE GRAND NOIR P/NOIR - 750ML
19801,19801,Direct,AMERICAN RED,STAGS LEAP NV CAB - 750ML,WINE,STAGS LEAP NV CAB - 750ML
